1,0 1
2,0 2
3,0 1 3
4,0 2 4
5,0 1 5
6,0 1 5 8 7
7,0 1 5 8
8,0 1 5 8 9
9,0 1 5 8 9 10
10,0 1 5 8 7 11
11,1 2
12,1 3
13,1 5 8
14,1 5 8 9
15,1 5 8 9 10
16,1 5 8 7 11
17,2 1
18,2 3
19,2 4 6
20,2 4 8 7
21,2 4 8 9
22,3 2
23,3 2 4
24,3 1 5 6
25,3 1 5 8 7
26,3 1 5 8
27,3 1 5 8 9 10
28,4 2 0
29,4 2
30,4 2 3
31,4 5
32,4 6
33,4 8 9
34,4 8 9 10
35,4 8 7 11
36,5 1 0
37,5 1
38,5 1 2
39,5 1 3
40,5 4
41,5 6
42,5 8 7
43,5 8 9
44,5 8 9 10
45,5 8 7 11
46,6 4 2 0
47,6 4 2
48,6 4 2 3
49,6 4
50,6 5
51,6 9 8
52,7 8 4 2 0
53,7 8 5 1
54,7 8 4 2
55,7 8 4 2 3
56,7 8 4
57,7 8 5
58,7 6
59,7 8 9
60,7 11 10
61,8 4 2 0
62,8 4 2
63,8 4 2 3
64,8 4
65,8 9 6
66,8 7
67,8 9
68,8 9 10
69,9 8 4 2 0
70,9 8 5 1
71,9 8 4
72,9 8 5
73,9 8 7
74,9 8
75,10 9 8 4 2 0
76,10 9 8 5 1
77,10 9 8 4 2
78,10 9 8 4 2 3
79,10 9 8 5
80,10 9 6
81,10 11 7
82,10 9 8
83,10 9
84,10 11
85,11 7 8 4 2 0
86,11 7 8 5 1
87,11 7 8 4 2
88,11 7 8 4 2 3
89,11 7 8 4
90,11 7 8 5
91,11 7 6
92,11 7
93,11 7 8
